ID,racial_group,callback
1956,White,No
1957,African American,No
1958,African American,No
1959,White,No
1960,White,No
1961,African American,No
1962,African American,No
1963,African American,No
1964,White,No
1965,White,No
1966,White,No
1967,White,No
1968,White,No
1969,White,No
1970,White,No
1971,White,No
1972,White,No
1973,African American,Yes
1974,African American,No
1975,White,No
1976,African American,No
1977,African American,No
1978,White,No
1979,White,No
1980,White,No
1981,African American,No
1982,African American,No
1983,White,No
1984,African American,No
1985,African American,No
1986,White,No
1987,White,No
1988,African American,No
1989,African American,No
1990,African American,No
1991,White,No
1992,White,No
1993,African American,No
1994,African American,No
1995,White,No
1996,African American,No
1997,African American,No
1998,White,No
1999,African American,No
2000,African American,No
2001,African American,No
2002,African American,No
2003,White,No
2004,African American,Yes
2005,White,No
2006,African American,Yes
2007,White,No
2008,White,No
2009,White,No
2010,African American,No
2011,African American,Yes
2012,African American,Yes
2013,African American,No
2014,African American,No
2015,African American,No
2016,White,No
2017,White,No
2018,White,Yes
2019,African American,Yes
2020,White,No
2021,African American,No
2022,African American,No
2023,African American,No
2024,African American,No
2025,White,No
2026,White,No
2027,African American,No
2028,African American,No
2029,African American,No
2030,White,Yes
2031,African American,No
2032,African American,No
2033,White,No
2034,African American,Yes
2035,White,No
2036,African American,No
2037,White,No
2038,White,No
2039,African American,No
2040,African American,No
2041,African American,No
2042,White,No
2043,African American,No
2044,African American,No
2045,African American,No
2046,African American,No
2047,White,No
2048,African American,No
2049,African American,No
2050,White,Yes
2051,African American,No
2052,White,No
2053,African American,No
2054,African American,No
2055,African American,No
2056,African American,No
2057,White,No
2058,African American,No
2059,White,Yes
2060,African American,No
2061,African American,No
2062,African American,No
2063,African American,No
2064,White,No
2065,White,No
2066,White,No
2067,African American,No
2068,White,No
2069,African American,No
2070,African American,No
2071,White,No
2072,African American,No
2073,White,No
2074,African American,Yes
2075,African American,No
2076,White,No
2077,White,Yes
2078,White,No
2079,White,No
2080,African American,No
2081,White,No
2082,African American,No
2083,White,No
2084,African American,No
2085,African American,No
2086,African American,No
2087,African American,No
2088,White,No
2089,African American,No
2090,White,No
2091,White,No
2092,White,Yes
2093,African American,No
2094,White,No
2095,White,No
2096,White,Yes
2097,White,No
2098,White,No
2099,African American,No
2100,White,No
2101,White,No
2102,White,No
2103,White,No
2104,African American,No
2105,White,No
2106,White,No
2107,White,Yes
2108,White,No
2109,African American,No
2110,African American,No
2111,White,No
2112,African American,No
2113,White,No
2114,White,No
2115,White,No
2116,African American,No
2117,White,Yes
2118,White,No
2119,African American,No
2120,White,No
2121,African American,No
2122,White,No
2123,White,No
2124,African American,No
2125,White,No
2126,White,No
2127,African American,Yes
2128,White,No
2129,African American,No
2130,White,No
2131,African American,No
2132,White,No
2133,African American,No
2134,African American,No
2135,African American,No
2136,White,No
2137,White,No
2138,White,No
2139,African American,No
2140,African American,No
2141,White,No
2142,African American,No
2143,African American,No
2144,White,No
2145,White,No
2146,African American,No
2147,African American,No
2148,White,No
2149,White,No
2150,White,No
2151,African American,No
2152,White,No
2153,White,No
2154,African American,No
2155,White,No
2156,White,No
2157,African American,No
2158,African American,No
2159,African American,No
2160,White,No
2161,African American,No
2162,African American,No
2163,African American,No
2164,African American,No
2165,African American,No
2166,African American,No
2167,African American,No
2168,White,No
2169,White,No
2170,White,No
2171,White,No
2172,African American,No
2173,African American,No
2174,White,No
2175,African American,No
2176,African American,No
2177,White,No
2178,African American,No
2179,White,Yes
2180,African American,No
2181,African American,Yes
2182,White,No
2183,African American,No
2184,African American,No
2185,White,No
2186,White,Yes
2187,African American,No
2188,White,No
2189,White,No
2190,African American,No
2191,African American,No
2192,White,No
2193,White,Yes
2194,White,No
2195,African American,No
2196,White,No
2197,White,No
2198,White,No
2199,White,No
2200,White,No
2201,White,No
2202,African American,No
2203,White,No
2204,White,No
2205,African American,No
2206,African American,No
2207,African American,No
2208,White,No
2209,African American,No
2210,White,No
2211,White,No
2212,African American,No
2213,African American,No
2214,African American,No
2215,White,Yes
2216,African American,No
2217,African American,No
2218,African American,No
2219,White,No
2220,White,No
2221,African American,No
2222,White,No
2223,African American,No
2224,African American,No
2225,White,No
2226,White,Yes
2227,African American,No
2228,African American,No
2229,African American,No
2230,White,No
2231,White,No
2232,African American,No
2233,African American,No
2234,White,No
2235,White,No
2236,White,No
2237,African American,No
2238,African American,No
2239,White,No
2240,African American,No
2241,African American,No
2242,African American,No
2243,African American,Yes
2244,White,No
2245,White,No
2246,White,No
2247,African American,No
2248,White,Yes
2249,African American,No
2250,White,No
2251,African American,No
2252,African American,No
2253,African American,No
2254,White,No
2255,White,No
2256,African American,No
2257,White,No
2258,African American,No
2259,African American,No
2260,White,No
2261,African American,No
2262,White,No
2263,African American,No
2264,White,No
2265,White,No
2266,African American,No
2267,White,No
2268,African American,No
2269,African American,No
2270,African American,No
2271,African American,No
2272,African American,No
2273,White,No
2274,White,No
2275,African American,No
2276,African American,No
2277,White,No
2278,White,No
2279,White,No
2280,White,No
2281,White,No
2282,White,No
2283,White,No
2284,African American,No
2285,African American,Yes
2286,White,Yes
2287,African American,No
2288,White,No
2289,African American,No
2290,White,No
2291,African American,Yes
2292,African American,Yes
2293,White,No
2294,African American,No
2295,African American,No
2296,White,No
2297,White,No
2298,White,No
2299,African American,No
2300,White,No
2301,White,Yes
2302,African American,Yes
2303,White,No
2304,African American,No
2305,African American,No
2306,African American,No
2307,White,No
2308,African American,No
2309,White,No
2310,African American,No
2311,African American,No
2312,White,No
2313,White,No
2314,White,No
2315,White,No
2316,African American,No
2317,African American,Yes
2318,White,No
2319,African American,No
2320,White,No
2321,African American,No
2322,White,Yes
2323,White,No
2324,White,Yes
2325,White,No
2326,White,No
2327,White,No
2328,African American,No
2329,White,No
2330,African American,No
2331,African American,No
2332,African American,No
2333,African American,No
2334,African American,No
2335,White,No
2336,White,No
2337,White,No
2338,African American,No
2339,African American,Yes
2340,African American,Yes
2341,African American,No
2342,White,No
2343,White,No
2344,White,No
2345,African American,No
2346,White,No
2347,White,No
2348,White,No
2349,White,No
2350,White,No
2351,White,No
2352,African American,No
2353,African American,No
2354,African American,No
2355,African American,No
2356,White,Yes
2357,White,No
2358,White,No
2359,White,No
2360,African American,No
2361,African American,No
2362,White,No
2363,White,No
2364,White,No
2365,White,Yes
2366,White,No
2367,White,No
2368,African American,No
2369,White,No
2370,African American,No
2371,White,Yes
2372,African American,No
2373,White,Yes
2374,White,No
2375,African American,Yes
2376,White,Yes
2377,African American,No
2378,African American,No
2379,African American,No
2380,African American,Yes
2381,White,No
2382,African American,No
2383,African American,No
2384,African American,No
2385,African American,No
2386,African American,Yes
2387,White,No
2388,African American,No
2389,African American,No
2390,White,No
2391,African American,No
2392,White,No
2393,White,No
2394,White,No
2395,White,Yes
2396,African American,No
2397,White,Yes
2398,White,No
2399,White,No
2400,White,No
2401,African American,No
2402,African American,No
2403,White,Yes
2404,White,Yes
2405,African American,No
2406,African American,No
2407,African American,No
2408,White,No
2409,White,No
2410,White,No
2411,African American,No
2412,African American,No
2413,White,No
2414,African American,No
2415,White,No
2416,African American,No
2417,African American,No
2418,White,Yes
2419,African American,No
2420,White,No
2421,African American,No
2422,White,No
2423,African American,No
2424,African American,No
2425,African American,No
2426,African American,No
2427,White,Yes
2428,African American,No
2429,African American,No
2430,White,No
2431,African American,No
2432,White,No
2433,African American,No
2434,White,No
2435,White,No
2436,African American,Yes
2437,White,No
2438,White,No
2439,African American,No
2440,White,No
2441,White,No
2442,White,No
2443,African American,No
2444,White,No
2445,African American,No
2446,African American,No
2447,African American,No
2448,White,No
2449,White,No
2450,White,No
2451,White,No
2452,White,No
2453,African American,No
2454,African American,No
2455,African American,No
2456,White,No
2457,White,No
2458,White,Yes
2459,African American,Yes
2460,African American,No
2461,African American,No
2462,African American,No
2463,White,Yes
2464,African American,No
2465,African American,No
2466,African American,No
2467,African American,No
2468,White,No
2469,White,No
2470,White,No
2471,African American,No
2472,African American,No
2473,White,No
2474,African American,No
2475,African American,No
2476,White,No
2477,White,No
2478,African American,No
2479,African American,No
2480,African American,No
2481,African American,No
2482,White,No
2483,African American,No
2484,White,No
2485,African American,No
2486,African American,No
2487,White,No
2488,White,Yes
2489,White,No
2490,White,No
2491,White,Yes
2492,African American,No
2493,White,No
2494,White,No
2495,African American,No
2496,African American,No
2497,White,No
2498,African American,No
2499,African American,No
2500,African American,No
2501,African American,No
2502,White,Yes
2503,White,No
2504,White,No
2505,White,No
2506,African American,No
2507,White,No
2508,White,Yes
2509,African American,No
2510,African American,No
2511,African American,No
2512,White,No
2513,White,No
2514,African American,No
2515,African American,Yes
2516,African American,Yes
2517,White,No
2518,African American,No
2519,White,Yes
2520,White,No
2521,White,No
2522,African American,Yes
2523,African American,No
2524,White,No
2525,White,No
2526,African American,No
2527,African American,No
2528,White,No
2529,White,No
2530,White,No
2531,White,No
2532,White,No
2533,White,No
2534,White,No
2535,African American,No
2536,White,No
2537,White,Yes
2538,White,No
2539,African American,Yes
2540,African American,No
2541,White,No
2542,African American,No
2543,African American,No
2544,White,No
2545,White,No
2546,White,No
2547,African American,No
2548,White,No
2549,White,No
2550,African American,No
2551,White,No
2552,White,Yes
2553,White,No
2554,White,Yes
2555,White,No
2556,African American,No
2557,African American,No
2558,African American,Yes
2559,African American,No
2560,African American,No
2561,African American,No
2562,White,No
2563,White,No
2564,African American,No
2565,African American,Yes
2566,African American,No
2567,White,No
2568,White,No
2569,White,No
2570,African American,No
2571,White,No
2572,African American,No
2573,African American,No
2574,African American,No
2575,African American,No
2576,White,No
2577,White,No
2578,White,No
2579,African American,No
2580,African American,No
2581,White,No
2582,African American,No
2583,African American,No
2584,White,No
2585,White,No
2586,African American,No
2587,White,No
2588,African American,No
2589,African American,No
2590,African American,Yes
2591,African American,No
2592,African American,No
2593,African American,Yes
2594,African American,No
2595,White,No
2596,African American,No
2597,White,No
2598,African American,No
2599,African American,No
2600,African American,No
2601,African American,No
2602,African American,No
2603,African American,No
2604,White,No
2605,White,No
2606,White,No
2607,White,No
2608,African American,No
2609,African American,No
2610,White,No
2611,White,No
2612,African American,No
2613,African American,No
2614,African American,No
2615,White,No
2616,White,No
2617,African American,No
2618,White,No
2619,White,No
2620,African American,No
2621,White,No
2622,White,No
2623,African American,No
2624,White,No
2625,White,No
2626,African American,No
2627,White,No
2628,African American,No
2629,African American,No
2630,White,No
2631,African American,No
2632,African American,No
2633,African American,No
2634,African American,No
2635,African American,No
2636,African American,No
2637,White,No
2638,African American,No
2639,African American,No
2640,African American,No
2641,African American,No
2642,African American,No
2643,African American,No
2644,African American,No
2645,White,No
2646,African American,No
2647,African American,No
2648,African American,No
2649,White,No
2650,African American,No
2651,African American,No
2652,African American,No
2653,African American,No
2654,White,No
2655,White,No
2656,White,No
2657,White,No
2658,African American,No
2659,African American,No
2660,African American,No
2661,African American,No
2662,African American,No
2663,African American,No
2664,African American,No
2665,White,No
2666,African American,No
2667,White,No
2668,White,No
2669,White,No
2670,White,Yes
2671,White,No
2672,African American,No
2673,African American,No
2674,White,No
2675,African American,No
2676,White,No
2677,African American,No
2678,African American,No
2679,African American,Yes
2680,White,No
2681,White,No
2682,African American,No
2683,African American,No
2684,African American,No
2685,African American,No
2686,African American,No
2687,African American,No
2688,White,No
2689,African American,No
2690,White,No
2691,African American,No
2692,White,No
2693,White,No
2694,White,No
2695,African American,No
2696,White,No
2697,White,No
2698,African American,No
2699,White,No
2700,African American,No
2701,White,No
2702,African American,No
2703,African American,No
2704,White,No
2705,White,No
2706,African American,No
2707,African American,No
2708,African American,No
2709,White,No
2710,African American,No
2711,African American,No
2712,White,No
2713,African American,No
2714,White,No
2715,African American,No
2716,African American,Yes
2717,African American,No
2718,White,No
2719,African American,Yes
2720,White,No
2721,African American,No
2722,African American,No
2723,White,No
2724,White,No
2725,African American,No
2726,African American,No
2727,African American,No
2728,African American,No
2729,White,No
2730,White,No
2731,White,No
2732,White,No
2733,White,No
2734,African American,No
2735,African American,No
2736,White,No
2737,African American,No
2738,African American,No
2739,African American,No
2740,African American,No
2741,White,No
2742,African American,No
2743,African American,No
2744,White,No
2745,White,No
2746,White,No
2747,African American,No
2748,African American,No
2749,African American,Yes
2750,White,No
2751,White,No
2752,White,Yes
2753,African American,No
2754,African American,No
2755,African American,Yes
2756,African American,No
2757,African American,No
2758,African American,No
2759,African American,No
2760,African American,No
2761,White,No
2762,African American,No
2763,White,No
2764,White,No
2765,White,No
2766,African American,No
2767,White,No
2768,White,No
2769,African American,No
2770,White,No
2771,African American,No
2772,White,Yes
2773,African American,No
2774,White,Yes
2775,White,Yes
2776,African American,No
2777,White,No
2778,White,No
2779,White,No
2780,African American,No
2781,African American,No
2782,African American,No
2783,White,No
2784,African American,No
2785,White,No
2786,African American,No
2787,White,No
2788,African American,No
2789,White,No
2790,African American,No
2791,African American,No
2792,White,No
2793,African American,No
2794,White,No
2795,White,No
2796,White,No
2797,White,No
2798,White,No
2799,White,No
2800,White,No
2801,White,No
2802,African American,No
2803,White,No
2804,African American,No
2805,African American,No
2806,African American,No
2807,African American,No
2808,African American,No
2809,African American,No
2810,African American,No
2811,White,No
2812,African American,No
2813,White,No
2814,African American,No
2815,White,No
2816,White,Yes
2817,African American,No
2818,African American,No
2819,White,Yes
2820,African American,No
2821,White,No
2822,African American,No
2823,White,No
2824,African American,No
2825,African American,No
2826,White,No
2827,White,No
2828,African American,No
2829,White,No
2830,African American,No
2831,White,No
2832,African American,No
2833,White,No
2834,White,No
2835,White,No
2836,White,No
2837,White,No
2838,African American,No
2839,White,Yes
2840,African American,No
2841,White,No
2842,White,No
2843,White,No
2844,African American,No
2845,White,No
2846,African American,No
2847,African American,No
2848,African American,No
2849,White,No
2850,African American,No
2851,White,No
2852,African American,No
2853,White,No
2854,African American,No
2855,White,No
2856,White,No
2857,African American,No
2858,White,No
2859,White,No
2860,White,No
2861,White,No
2862,African American,No
2863,African American,No
2864,African American,No
2865,African American,No
2866,African American,No
2867,White,No
2868,African American,No
2869,White,No
2870,African American,No
2871,African American,No
2872,White,No
2873,White,Yes
2874,White,No
2875,White,No
2876,White,No
2877,White,No
2878,White,No
2879,African American,No
2880,White,No
2881,African American,No
2882,White,No
2883,African American,No
2884,White,No
2885,African American,No
2886,African American,No
2887,African American,No
2888,African American,No
2889,African American,No
2890,African American,No
2891,White,No
2892,White,Yes
2893,White,No
2894,White,No
2895,White,No
2896,African American,No
2897,White,No
2898,African American,No
2899,African American,No
2900,White,No
2901,White,No
2902,White,No
2903,African American,No
2904,African American,No
2905,White,No
2906,African American,No
2907,African American,No
2908,White,No
2909,White,No
2910,White,No
2911,White,Yes
2912,African American,No
2913,White,No
2914,African American,No
2915,African American,No
2916,African American,No
2917,White,No
2918,White,No
2919,White,No
2920,African American,No
2921,African American,No
2922,White,No
2923,White,Yes
2924,African American,No
2925,White,No
2926,White,No
2927,White,No
2928,White,No
2929,African American,No
2930,White,No
2931,African American,No
2932,African American,No
2933,African American,No
2934,African American,No
2935,African American,No
2936,White,No
2937,White,No
2938,African American,No
2939,White,No
2940,African American,No
2941,White,No
2942,African American,Yes
2943,White,No
2944,African American,No
2945,African American,No
2946,African American,No
2947,African American,Yes
2948,White,No
2949,African American,No
2950,White,No
2951,White,No
2952,African American,No
2953,White,No
2954,White,No
2955,White,No
2956,White,Yes
2957,White,Yes
2958,White,No
2959,African American,Yes
2960,White,No
2961,White,No
2962,White,No
2963,African American,No
2964,White,No
2965,African American,No
2966,African American,No
2967,White,No
2968,African American,No
2969,African American,No
2970,White,No
2971,White,No
2972,African American,No
2973,White,No
2974,White,No
2975,White,No
2976,African American,No
2977,White,No
2978,White,No
2979,White,Yes
2980,African American,No
2981,White,No
2982,White,No
2983,White,No
2984,White,No
2985,White,No
2986,African American,No
2987,African American,No
2988,White,No
2989,White,No
2990,African American,No
2991,African American,No
2992,White,No
2993,African American,No
2994,White,No
2995,African American,Yes
2996,White,No
2997,African American,No
2998,African American,No
2999,White,No
3000,White,No
3001,White,No
3002,White,Yes
3003,African American,No
3004,African American,No
3005,White,Yes
3006,White,No
3007,African American,No
3008,White,Yes
3009,African American,No
3010,White,No
3011,African American,No
3012,African American,No
3013,African American,No
3014,White,No
3015,African American,No
3016,African American,No
3017,African American,No
3018,White,No
3019,White,No
3020,African American,No
3021,White,No
3022,White,No
3023,White,No
3024,African American,No
3025,African American,Yes
3026,African American,No
3027,White,No
3028,African American,No
3029,White,No
3030,African American,No
3031,African American,Yes
3032,White,No
3033,African American,No
3034,White,No
3035,African American,No
3036,White,No
3037,African American,No
3038,White,No
3039,White,Yes
3040,White,No
3041,African American,No
3042,African American,No
3043,African American,No
3044,African American,No
3045,African American,No
3046,White,No
3047,White,No
3048,African American,No
3049,White,No
3050,White,No
3051,White,No
3052,African American,No
3053,African American,No
3054,White,No
3055,White,No
3056,White,No
3057,African American,No
3058,White,No
3059,White,No
3060,African American,Yes
3061,White,No
3062,White,No
3063,African American,No
3064,African American,Yes
3065,African American,No
3066,White,No
3067,White,No
3068,African American,No
3069,African American,No
3070,White,No
3071,White,No
3072,White,Yes
3073,White,No
3074,White,Yes
3075,White,No
3076,White,No
3077,White,No
3078,African American,No
3079,White,No
3080,African American,No
3081,African American,No
3082,African American,No
3083,African American,No
3084,African American,No
3085,African American,No
3086,African American,No
3087,White,No
3088,White,No
3089,White,No
3090,White,No
3091,White,No
3092,African American,No
3093,White,No
3094,African American,No
3095,African American,No
3096,White,No
3097,African American,No
3098,White,No
3099,African American,No
3100,White,Yes
3101,African American,No
3102,White,No
3103,African American,No
3104,African American,No
3105,White,No
3106,White,No
3107,African American,No
3108,African American,No
3109,White,No
3110,White,No
3111,White,Yes
3112,African American,No
3113,African American,No
3114,White,No
3115,White,No
3116,African American,No
3117,White,No
3118,African American,No
3119,African American,No
3120,White,No
3121,White,No
3122,African American,No
3123,White,No
3124,African American,No
3125,White,No
3126,White,No
3127,African American,No
3128,White,No
3129,African American,No
3130,White,Yes
3131,African American,No
3132,White,No
3133,African American,No
3134,White,No
3135,White,No
3136,African American,No
3137,White,Yes
3138,White,No
3139,African American,No
3140,African American,Yes
3141,White,No
3142,African American,Yes
3143,African American,No
3144,African American,No
3145,African American,No
3146,White,No
3147,African American,No
3148,White,No
3149,White,No
3150,African American,No
3151,African American,No
3152,African American,No
3153,African American,No
3154,White,No
3155,African American,No
3156,White,No
3157,White,No
3158,White,No
3159,African American,No
3160,White,No
3161,African American,No
3162,African American,No
3163,African American,No
3164,African American,No
3165,White,No
3166,White,No
3167,African American,No
3168,African American,No
3169,African American,Yes
3170,White,No
3171,White,No
3172,White,No
3173,White,No
3174,African American,No
3175,White,No
3176,White,No
3177,White,No
3178,White,No
3179,African American,Yes
3180,African American,No
3181,African American,No
3182,African American,No
3183,African American,Yes
3184,African American,No
3185,African American,No
3186,African American,No
3187,African American,No
3188,White,No
3189,White,No
3190,White,No
3191,African American,No
3192,White,Yes
3193,African American,No
3194,White,No
3195,African American,No
3196,African American,No
3197,White,No
3198,White,No
3199,African American,No
3200,White,No
3201,African American,No
3202,White,No
3203,White,Yes
3204,White,Yes
3205,African American,No
3206,White,No
3207,White,No
3208,White,No
3209,White,No
3210,African American,No
3211,African American,No
3212,African American,No
3213,White,No
3214,African American,No
3215,African American,No
3216,African American,No
3217,White,No
3218,White,No
3219,White,No
3220,White,No
3221,African American,No
3222,White,No
3223,White,No
3224,African American,No
3225,African American,No
3226,White,No
3227,White,No
3228,African American,No
3229,African American,No
3230,White,No
3231,White,No
3232,White,Yes
3233,White,No
3234,African American,No
3235,African American,No
3236,African American,No
3237,White,No
3238,African American,No
3239,African American,No
3240,White,No
3241,White,No
3242,African American,No
3243,African American,No
3244,African American,No
3245,White,No
3246,African American,No
3247,African American,No
3248,White,No
3249,African American,No
3250,African American,No
3251,African American,Yes
3252,African American,No
3253,White,No
3254,White,No
3255,White,No
3256,African American,No
3257,African American,No
3258,African American,No
3259,African American,No
3260,White,No
3261,African American,No
3262,African American,No
3263,White,No
3264,African American,No
3265,White,No
3266,African American,No
3267,White,Yes
3268,White,No
3269,African American,No
3270,African American,No
3271,White,No
3272,African American,No
3273,White,No
3274,White,No
3275,White,Yes
3276,White,Yes
3277,African American,No
3278,White,No
3279,White,No
3280,African American,No
3281,White,No
3282,African American,No
3283,White,No
3284,African American,No
3285,African American,No
3286,White,Yes
3287,African American,Yes
3288,White,No
3289,White,No
3290,African American,No
3291,African American,No
3292,White,No
3293,White,No
3294,White,No
3295,White,No
3296,White,No
3297,White,Yes
3298,White,No
3299,White,No
3300,White,No
3301,African American,No
3302,African American,No
3303,White,No
3304,African American,No
3305,African American,No
3306,White,No
3307,White,No
3308,White,No
3309,White,Yes
3310,African American,No
3311,White,No
3312,African American,No
3313,African American,No
3314,African American,No
3315,White,No
3316,White,No
3317,African American,No
3318,African American,No
3319,White,No
3320,African American,No
3321,White,No
3322,White,No
3323,White,No
3324,White,No
3325,White,No
3326,White,No
3327,White,No
3328,White,Yes
3329,White,No
3330,African American,No
3331,White,Yes
3332,African American,No
3333,White,No
3334,African American,No
3335,White,No
3336,African American,No
3337,African American,No
3338,White,No
3339,African American,No
3340,African American,No
3341,African American,No
3342,African American,No
3343,African American,No
3344,African American,No
3345,White,No
3346,White,No
3347,African American,No
3348,African American,No
3349,African American,No
3350,White,No
3351,African American,No
3352,African American,No
3353,White,Yes
3354,White,No
3355,African American,No
3356,White,Yes
3357,African American,No
3358,African American,No
3359,White,No
3360,African American,No
3361,African American,No
3362,African American,No
3363,White,No
3364,White,No
3365,African American,No
3366,White,No
3367,White,No
3368,African American,No
3369,White,No
3370,White,Yes
3371,African American,No
3372,White,Yes
3373,African American,No
3374,African American,No
3375,White,No
3376,African American,No
3377,White,No
3378,White,No
3379,African American,No
3380,White,No
3381,White,No
3382,White,No
3383,White,No
3384,African American,No
3385,White,No
3386,White,No
3387,White,Yes
3388,White,No
3389,White,No
3390,African American,No
3391,White,No
3392,African American,No
3393,African American,No
3394,White,No
3395,African American,No
3396,White,No
3397,White,No
3398,White,No
3399,African American,No
3400,White,No
3401,White,No
3402,African American,No
3403,African American,No
3404,African American,No
3405,African American,No
3406,African American,No
3407,African American,No
3408,African American,No
3409,White,No
3410,White,No
3411,White,No
3412,White,No
3413,White,No
3414,African American,No
3415,African American,No
3416,White,No
3417,White,No
3418,African American,No
3419,White,No
3420,White,No
3421,White,No
3422,African American,No
3423,African American,No
3424,White,No
3425,White,No
3426,African American,No
3427,African American,No
3428,African American,No
3429,White,No
3430,White,No
3431,White,No
3432,White,No
3433,African American,No
3434,White,No
3435,African American,No
3436,African American,No
3437,African American,No
3438,White,No
3439,White,No
3440,White,No
3441,White,Yes
3442,African American,No
3443,African American,No
3444,African American,No
3445,African American,Yes
3446,White,No
3447,African American,No
3448,African American,No
3449,African American,No
3450,White,No
3451,African American,Yes
3452,White,No
3453,African American,No
3454,White,No
3455,White,No
3456,White,No
3457,African American,No
3458,African American,No
3459,White,Yes
3460,White,No
3461,White,No
3462,African American,No
3463,African American,No
3464,White,No
3465,African American,No
3466,White,No
3467,White,No
3468,African American,No
3469,African American,No
3470,African American,No
3471,White,No
3472,African American,No
3473,African American,Yes
3474,White,Yes
3475,African American,No
3476,White,No
3477,African American,No
3478,African American,No
3479,White,No
3480,African American,No
3481,African American,Yes
3482,African American,No
3483,White,No
3484,White,No
3485,White,No
3486,African American,Yes
3487,White,No
3488,African American,No
3489,White,No
3490,African American,No
3491,White,No
3492,White,No
3493,African American,No
3494,African American,No
3495,White,No
3496,African American,No
3497,African American,No
3498,African American,No
3499,White,No
3500,White,Yes
3501,White,No
3502,White,No
3503,White,No
3504,White,No
3505,White,No
3506,White,No
3507,White,No
3508,White,No
3509,White,No
3510,White,No
3511,African American,No
3512,White,No
3513,African American,No
3514,White,No
3515,African American,No
3516,African American,No
3517,White,No
3518,African American,No
3519,White,No
3520,White,No
3521,White,No
3522,African American,No
3523,White,No
3524,African American,No
3525,White,No
3526,White,No
3527,African American,No
3528,African American,No
3529,White,No
3530,White,No
3531,African American,Yes
3532,White,No
3533,African American,No
3534,African American,No
3535,African American,No
3536,White,No
3537,African American,No
3538,White,No
3539,African American,No
3540,White,No
3541,White,No
3542,African American,No
3543,White,No
3544,African American,No
3545,African American,No
3546,White,No
3547,African American,No
3548,African American,No
3549,White,No
3550,White,Yes
3551,African American,No
3552,African American,No
3553,African American,No
3554,White,No
3555,African American,No
3556,White,No
3557,White,No
3558,White,No
3559,African American,No
3560,White,No
3561,White,Yes
3562,African American,No
3563,African American,No
3564,African American,No
3565,African American,No
3566,White,No
3567,White,No
3568,White,No
3569,African American,No
3570,African American,No
3571,White,No
3572,White,No
3573,White,No
3574,White,No
3575,African American,No
3576,African American,Yes
3577,African American,No
3578,White,No
3579,White,No
3580,White,No
3581,White,No
3582,African American,No
3583,African American,No
3584,White,No
3585,White,No
3586,African American,No
3587,African American,Yes
3588,White,No
3589,African American,No
3590,White,No
3591,African American,No
3592,African American,No
3593,White,Yes
3594,White,No
3595,White,No
3596,African American,Yes
3597,African American,No
3598,White,No
3599,White,No
3600,White,No
3601,White,No
3602,White,No
3603,White,No
3604,African American,No
3605,African American,No
3606,African American,No
3607,African American,No
3608,African American,No
3609,African American,No
3610,White,Yes
3611,African American,No
3612,African American,No
3613,White,No
3614,African American,No
3615,White,No
3616,White,No
3617,White,No
3618,African American,No
3619,African American,No
3620,African American,Yes
3621,African American,No
3622,African American,No
3623,African American,No
3624,African American,No
3625,African American,No
3626,White,No
3627,White,No
3628,African American,No
3629,White,No
3630,African American,No
3631,African American,No
3632,White,No
3633,White,No
3634,African American,No
3635,White,No
3636,White,Yes
3637,White,No
3638,African American,No
3639,African American,No
3640,African American,No
3641,African American,No
3642,African American,No
3643,African American,No
3644,White,No
3645,African American,No
3646,African American,No
3647,White,No
3648,African American,No
3649,White,No
3650,African American,No
3651,African American,No
3652,African American,No
3653,White,No
3654,White,No
3655,African American,No
3656,African American,No
3657,African American,No
3658,White,No
3659,White,No
3660,African American,No
3661,African American,No
3662,African American,No
3663,White,No
3664,African American,No
3665,African American,No
3666,African American,No
3667,White,No
3668,White,No
3669,White,No
3670,White,No
3671,African American,No
3672,African American,No
3673,African American,No
3674,White,No
3675,African American,No
3676,White,No
3677,White,No
3678,African American,No
3679,African American,No
3680,White,No
3681,African American,No
3682,African American,No
3683,White,No
3684,African American,No
3685,African American,No
3686,African American,No
3687,African American,No
3688,White,No
3689,African American,No
3690,White,No
3691,African American,No
3692,White,No
3693,White,No
3694,White,Yes
3695,White,No
3696,White,No
3697,White,No
3698,African American,No
3699,African American,No
3700,White,No
3701,African American,No
3702,African American,No
3703,White,No
3704,White,No
3705,White,No
3706,African American,No
3707,African American,No
3708,White,No
3709,African American,No
3710,African American,No
3711,African American,No
3712,White,No
3713,White,No
3714,White,No
3715,White,No
3716,African American,No
3717,African American,No
3718,White,No
3719,African American,No
3720,African American,No
3721,African American,No
3722,White,No
3723,White,No
3724,African American,No
3725,White,No
3726,African American,No
3727,African American,No
3728,White,No
3729,White,No
3730,African American,No
3731,African American,No
3732,White,No
3733,White,No
3734,African American,No
3735,White,No
3736,African American,No
3737,African American,No
3738,African American,No
3739,African American,No
3740,White,No
3741,African American,No
3742,White,No
3743,African American,No
3744,African American,No
3745,African American,No
3746,White,No
3747,White,No
3748,White,No
3749,African American,No
3750,African American,No
3751,African American,No
3752,White,No
3753,African American,No
3754,African American,Yes
3755,African American,No
3756,White,No
3757,African American,No
3758,White,No
3759,White,No
3760,African American,Yes
3761,White,Yes
3762,White,No
3763,African American,No
3764,African American,No
3765,African American,No
3766,White,No
3767,African American,No
3768,African American,No
3769,White,No
3770,African American,No
3771,White,No
3772,African American,No
3773,African American,No
3774,African American,No
3775,White,No
3776,White,No
3777,African American,Yes
