id,deathpen,rdefend,rvictim
1457,No,White,White
1458,No,Black,Black
1459,No,Black,Black
1460,No,Black,Black
1461,No,White,Black
1462,No,Black,Black
1463,No,White,White
1464,No,Black,Black
1465,No,Black,Black
1466,No,Black,Black
1467,No,Black,Black
1468,No,Black,Black
1469,No,Black,Black
1470,No,Black,Black
1471,No,Black,Black
1472,Yes,White,White
1473,No,White,White
1474,No,Black,Black
1475,No,Black,Black
1476,No,White,Black
1477,No,White,White
1478,No,Black,Black
1479,No,White,White
1480,No,White,White
1481,No,Black,Black
1482,No,Black,Black
1483,No,White,Black
1484,No,White,White
1485,No,White,White
1486,No,Black,White
1487,No,White,Black
1488,No,Black,Black
1489,No,Black,Black
1490,No,Black,Black
1491,No,White,White
1492,No,White,Black
1493,No,White,White
1494,No,White,White
1495,No,Black,Black
1496,No,White,Black
1497,No,White,White
1498,No,Black,Black
1499,No,Black,Black
1500,No,Black,Black
1501,No,Black,Black
1502,No,Black,Black
1503,No,Black,Black
1504,No,Black,Black
1505,No,White,White
1506,No,White,White
1507,No,Black,Black
1508,No,White,White
1509,No,White,White
1510,No,Black,Black
1511,No,Black,Black
1512,No,White,White
1513,No,White,White
1514,Yes,Black,White
1515,No,White,White
1516,No,Black,Black
1517,No,White,White
1518,No,Black,Black
1519,No,White,White
1520,No,White,White
1521,No,Black,Black
1522,No,Black,Black
1523,No,Black,Black
1524,No,Black,Black
1525,No,Black,Black
1526,No,Black,Black
1527,No,Black,Black
1528,No,White,White
1529,No,Black,Black
1530,No,Black,Black
1531,No,Black,Black
1532,No,Black,Black
1533,No,Black,Black
1534,No,Black,Black
1535,No,White,White
1536,No,Black,Black
1537,No,Black,Black
1538,No,Black,White
1539,No,White,Black
1540,No,White,White
1541,No,Black,Black
1542,No,White,Black
1543,No,White,Black
1544,No,Black,Black
1545,No,Black,Black
1546,No,White,White
1547,No,White,Black
1548,No,White,White
1549,No,Black,Black
1550,No,Black,Black
1551,No,Black,Black
1552,No,White,White
1553,No,Black,Black
1554,No,Black,Black
1555,No,Black,Black
1556,No,Black,Black
1557,No,White,Black
1558,No,White,White
1559,No,White,White
1560,No,Black,Black
1561,No,White,White
1562,No,Black,Black
1563,Yes,Black,White
1564,No,White,White
1565,No,White,White
1566,No,Black,Black
1567,No,Black,Black
1568,No,White,White
1569,No,White,White
1570,No,White,White
1571,No,White,White
1572,No,Black,Black
1573,No,Black,Black
1574,No,White,White
1575,No,Black,Black
1576,No,White,White
1577,No,Black,Black
1578,No,Black,Black
1579,No,White,White
1580,No,Black,White
1581,No,Black,White
1582,No,White,White
1583,No,White,White
1584,No,Black,Black
1585,No,Black,Black
1586,No,Black,Black
1587,Yes,Black,White
1588,No,Black,Black
1589,No,Black,Black
1590,No,Black,Black
1591,No,Black,Black
1592,No,White,White
1593,No,White,Black
1594,No,Black,Black
1595,No,Black,White
1596,No,Black,Black
1597,No,White,White
1598,No,White,White
1599,No,Black,Black
1600,No,Black,White
1601,No,Black,Black
1602,No,Black,Black
1603,No,Black,Black
1604,No,Black,Black
1605,No,Black,Black
1606,No,Black,Black
1607,No,Black,Black
1608,No,Black,White
1609,No,White,White
1610,No,White,White
1611,No,Black,Black
1612,No,White,White
1613,No,Black,Black
1614,Yes,White,White
1615,No,Black,Black
1616,No,Black,Black
1617,No,Black,Black
1618,No,White,Black
1619,No,White,White
1620,No,Black,White
1621,No,White,White
1622,No,White,White
1623,No,Black,Black
1624,No,White,White
1625,No,White,White
1626,No,White,White
1627,No,White,White
1628,No,Black,Black
1629,No,Black,Black
1630,No,White,White
1631,No,Black,Black
1632,No,Black,Black
1633,No,White,White
1634,No,Black,Black
1635,No,White,White
1636,No,Black,Black
1637,No,Black,Black
1638,No,Black,Black
1639,No,White,White
1640,No,Black,Black
1641,No,White,White
1642,No,Black,Black
1643,No,Black,Black
1644,No,Black,Black
1645,No,Black,Black
1646,No,White,White
1647,No,Black,Black
1648,No,White,White
1649,No,Black,Black
1650,No,White,White
1651,Yes,Black,White
1652,No,Black,White
1653,Yes,White,White
1654,No,Black,Black
1655,No,Black,Black
1656,No,White,White
1657,No,White,White
1658,Yes,Black,White
1659,No,Black,Black
1660,No,White,Black
1661,No,White,White
1662,No,Black,Black
1663,No,Black,Black
1664,No,White,White
1665,No,Black,Black
1666,No,Black,Black
1667,No,Black,Black
1668,Yes,White,White
1669,No,White,White
1670,No,White,White
1671,No,White,Black
1672,No,White,White
1673,No,Black,Black
1674,No,White,Black
1675,Yes,White,White
1676,No,White,White
1677,No,White,White
1678,No,Black,Black
1679,No,White,White
1680,No,White,White
1681,No,White,White
1682,No,Black,Black
1683,No,Black,Black
1684,Yes,Black,Black
1685,No,Black,Black
1686,No,White,White
1687,No,White,Black
1688,No,Black,Black
1689,No,Black,Black
1690,No,Black,Black
1691,No,Black,Black
1692,No,Black,Black
1693,No,Black,Black
1694,No,White,White
1695,No,Black,Black
1696,No,White,White
1697,No,Black,Black
1698,No,Black,Black
1699,No,White,Black
1700,No,Black,Black
1701,Yes,White,White
1702,No,Black,Black
1703,No,White,White
1704,No,Black,Black
1705,No,Black,Black
1706,No,White,White
1707,No,White,White
1708,No,Black,Black
1709,No,Black,Black
1710,No,Black,Black
1711,No,White,White
1712,No,White,White
1713,No,Black,Black
1714,No,Black,Black
1715,No,Black,Black
1716,No,Black,Black
1717,No,Black,Black
1718,No,Black,Black
1719,No,Black,Black
1720,No,White,White
1721,No,Black,White
1722,No,Black,Black
1723,No,White,White
1724,No,White,White
1725,No,Black,Black
1726,No,Black,Black
1727,No,White,White
1728,No,Black,Black
1729,No,Black,Black
1730,No,Black,Black
1731,No,Black,Black
1732,No,Black,Black
1733,No,Black,Black
1734,No,White,White
1735,No,White,Black
1736,No,White,White
1737,No,Black,Black
1738,No,Black,Black
1739,No,Black,Black
1740,Yes,Black,White
1741,No,Black,Black
1742,No,Black,Black
1743,No,White,White
1744,No,Black,Black
1745,No,Black,Black
1746,No,White,White
1747,No,White,White
1748,No,Black,Black
1749,No,Black,Black
1750,No,White,White
1751,No,White,White
1752,No,White,White
1753,No,Black,Black
1754,No,White,White
1755,No,White,White
1756,No,Black,Black
1757,No,Black,Black
1758,No,White,White
1759,No,White,White
1760,Yes,Black,White
1761,No,White,White
1762,No,Black,Black
1763,No,Black,Black
1764,No,Black,Black
1765,No,Black,Black
1766,No,White,White
1767,No,White,Black
1768,No,Black,Black
1769,No,White,Black
1770,No,Black,Black
1771,No,White,White
1772,No,White,White
1773,No,Black,Black
1774,No,White,White
1775,No,White,Black
1776,No,Black,Black
1777,No,White,Black
1778,No,Black,Black
1779,No,Black,Black
1780,No,White,White
1781,No,Black,Black
1782,No,Black,Black
1783,No,White,Black
1784,No,White,Black
1785,No,Black,Black
1786,No,Black,Black
1787,No,White,White
1788,No,Black,Black
1789,No,Black,Black
1790,No,Black,Black
1791,No,Black,Black
1792,No,Black,Black
1793,No,White,White
1794,No,White,White
1795,No,Black,Black
1796,No,Black,Black
1797,Yes,Black,Black
1798,No,White,White
1799,No,Black,Black
1800,No,Black,Black
1801,Yes,White,White
1802,No,Black,Black
1803,No,Black,Black
1804,No,Black,Black
1805,No,Black,Black
1806,No,Black,Black
1807,No,Black,Black
1808,No,Black,Black
1809,No,White,White
1810,No,Black,Black
1811,No,Black,Black
1812,No,White,White
1813,No,Black,Black
1814,No,Black,Black
1815,Yes,White,White
1816,No,Black,Black
1817,No,White,White
1818,No,White,White
1819,No,White,White
1820,No,White,White
1821,No,Black,Black
1822,No,Black,Black
1823,No,Black,Black
1824,No,Black,Black
1825,No,White,White
1826,Yes,White,White
1827,No,Black,Black
1828,No,White,White
1829,No,Black,Black
1830,No,Black,Black
1831,No,Black,Black
1832,No,Black,Black
1833,No,Black,Black
1834,No,Black,Black
1835,No,Black,Black
1836,No,Black,Black
1837,No,Black,Black
1838,No,Black,Black
1839,No,White,White
1840,No,Black,Black
1841,No,Black,White
1842,No,Black,Black
1843,No,Black,Black
1844,No,White,Black
1845,No,Black,Black
1846,No,Black,Black
1847,Yes,Black,White
1848,No,Black,Black
1849,No,White,Black
1850,No,White,White
1851,No,White,White
1852,No,Black,Black
1853,No,Black,Black
1854,No,Black,Black
1855,No,Black,White
1856,No,White,White
1857,No,Black,Black
1858,No,Black,Black
1859,No,Black,Black
1860,No,Black,Black
1861,No,White,White
1862,No,Black,Black
1863,Yes,White,White
1864,No,White,White
1865,No,White,White
1866,No,Black,Black
1867,No,Black,Black
1868,No,Black,Black
1869,No,White,White
1870,No,Black,Black
1871,No,Black,Black
1872,No,White,White
1873,No,White,White
1874,No,Black,Black
1875,No,Black,Black
1876,No,Black,Black
1877,No,Black,Black
1878,No,White,White
1879,No,White,White
1880,No,Black,Black
1881,No,White,White
1882,No,White,Black
1883,No,Black,Black
1884,No,White,Black
1885,No,White,White
1886,No,White,White
1887,No,White,White
1888,Yes,White,White
1889,No,Black,Black
1890,No,Black,Black
1891,No,White,White
1892,No,White,White
1893,No,White,White
1894,No,White,White
1895,No,Black,Black
1896,No,Black,Black
1897,No,White,Black
1898,No,White,White
1899,No,Black,Black
1900,No,White,White
1901,No,White,Black
1902,Yes,Black,Black
1903,No,Black,Black
1904,No,White,White
1905,No,Black,Black
1906,No,Black,Black
1907,No,White,White
1908,No,White,White
1909,Yes,White,White
1910,No,White,White
1911,No,Black,Black
1912,No,White,White
1913,No,Black,Black
1914,No,Black,Black
1915,No,White,Black
1916,No,Black,Black
1917,No,White,Black
1918,No,White,White
1919,No,Black,Black
1920,No,Black,Black
1921,No,Black,Black
1922,No,White,Black
1923,No,White,White
1924,No,Black,Black
1925,No,White,White
1926,No,White,White
1927,No,Black,Black
1928,No,White,White
1929,No,White,White
1930,No,Black,Black
1931,No,Black,Black
1932,No,Black,Black
1933,No,White,White
1934,No,Black,Black
1935,No,White,White
1936,No,Black,Black
1937,No,Black,Black
1938,No,White,White
1939,No,White,White
1940,No,Black,Black
1941,No,Black,Black
1942,No,Black,Black
1943,No,Black,Black
1944,No,White,White
1945,No,White,White
1946,No,Black,Black
1947,No,Black,Black
1948,No,Black,Black
1949,No,Black,Black
1950,No,White,White
1951,No,White,White
1952,No,Black,Black
1953,No,White,White
1954,No,Black,Black
1955,No,Black,Black
1956,No,White,Black
1957,No,Black,Black
1958,Yes,Black,White
1959,No,Black,Black
1960,No,Black,Black
1961,No,Black,Black
1962,No,Black,Black
1963,No,Black,Black
1964,No,Black,Black
1965,No,Black,Black
1966,No,White,White
1967,No,White,Black
1968,No,Black,Black
1969,No,Black,Black
1970,No,Black,Black
1971,No,White,White
1972,No,Black,Black
1973,No,Black,Black
1974,No,White,White
1975,No,Black,Black
1976,No,White,Black
1977,No,Black,Black
1978,No,White,White
1979,No,Black,Black
1980,No,Black,White
1981,No,Black,Black
1982,No,Black,Black
1983,No,White,White
1984,No,Black,Black
1985,No,Black,Black
1986,No,Black,White
1987,No,White,White
1988,No,Black,Black
1989,No,White,White
1990,No,White,White
1991,No,Black,Black
1992,No,White,White
1993,No,White,Black
1994,No,White,White
1995,No,White,White
1996,No,White,White
1997,No,Black,Black
1998,No,Black,Black
1999,No,Black,Black
2000,No,Black,White
2001,No,White,White
2002,No,Black,Black
2003,Yes,Black,White
2004,No,Black,Black
2005,No,Black,Black
2006,No,Black,Black
2007,Yes,Black,White
2008,No,Black,Black
2009,No,Black,Black
2010,No,White,White
2011,No,White,White
2012,No,Black,Black
2013,No,Black,Black
2014,No,Black,Black
2015,No,Black,Black
2016,No,Black,Black
2017,No,Black,Black
2018,No,White,Black
2019,No,Black,Black
2020,No,White,White
2021,No,Black,White
2022,No,Black,Black
2023,No,Black,Black
2024,No,White,White
2025,No,Black,Black
2026,No,White,White
2027,No,Black,Black
2028,No,Black,Black
2029,No,Black,Black
2030,No,Black,Black
2031,No,White,White
2032,No,White,White
2033,No,Black,Black
2034,No,Black,Black
2035,No,White,White
2036,No,Black,Black
2037,No,Black,Black
2038,No,Black,Black
2039,No,Black,White
2040,No,Black,Black
2041,No,Black,Black
2042,No,White,White
2043,No,Black,Black
2044,No,Black,White
2045,No,Black,Black
2046,No,Black,Black
2047,No,Black,Black
2048,No,Black,Black
2049,No,White,Black
2050,No,White,White
2051,No,Black,Black
2052,No,White,White
2053,No,Black,Black
2054,No,Black,Black
2055,No,White,White
2056,No,Black,Black
2057,No,Black,Black
2058,No,Black,Black
2059,No,White,White
2060,No,Black,Black
2061,No,Black,Black
2062,No,Black,Black
2063,No,Black,Black
2064,No,White,White
2065,No,White,Black
2066,No,Black,Black
2067,No,White,White
2068,No,Black,Black
2069,No,Black,Black
2070,No,Black,Black
2071,No,White,White
2072,No,Black,Black
2073,No,Black,Black
2074,No,Black,Black
2075,Yes,Black,White
2076,No,White,White
2077,No,White,White
2078,No,Black,Black
2079,No,Black,Black
2080,No,Black,Black
2081,No,White,White
2082,No,Black,Black
2083,No,Black,Black
2084,No,White,White
2085,Yes,Black,White
2086,No,Black,Black
2087,No,Black,Black
2088,No,White,White
2089,No,Black,Black
2090,No,White,White
2091,No,Black,Black
2092,No,Black,Black
2093,No,Black,Black
2094,No,White,White
2095,No,White,White
2096,Yes,Black,White
2097,No,White,White
2098,No,White,White
2099,No,White,White
2100,No,Black,Black
2101,No,White,White
2102,No,White,White
2103,No,White,White
2104,No,Black,Black
2105,Yes,Black,Black
2106,No,White,White
2107,No,Black,Black
2108,No,Black,Black
2109,No,Black,Black
2110,No,White,White
2111,No,White,Black
2112,No,White,White
2113,No,Black,Black
2114,No,Black,Black
2115,No,Black,Black
2116,No,White,White
2117,No,White,White
2118,No,White,White
2119,No,Black,Black
2120,No,White,White
2121,No,Black,Black
2122,No,Black,Black
2123,No,White,White
2124,No,White,White
2125,No,White,White
2126,No,Black,Black
2127,No,White,Black
2128,No,Black,Black
2129,No,Black,Black
2130,No,Black,Black
2131,No,Black,Black
2132,Yes,Black,White
2133,No,Black,Black
2134,No,Black,Black
2135,No,Black,Black
2136,No,Black,Black
2137,No,Black,Black
2138,No,Black,Black
2139,No,Black,White
2140,No,Black,Black
2141,No,White,White
2142,No,Black,Black
2143,No,Black,Black
2144,No,White,White
2145,No,White,White
2146,No,White,Black
2147,No,Black,Black
2148,No,White,Black
2149,No,Black,Black
2150,No,White,White
2151,No,Black,Black
2152,No,Black,Black
2153,No,Black,Black
2154,No,Black,Black
2155,No,Black,Black
2156,No,Black,Black
2157,No,White,White
2158,No,White,White
2159,No,Black,Black
2160,No,White,White
2161,No,Black,Black
2162,No,Black,Black
2163,No,Black,Black
2164,No,White,White
2165,No,Black,Black
2166,No,Black,Black
2167,No,Black,Black
2168,No,White,White
2169,Yes,White,White
2170,No,White,White
2171,No,Black,Black
2172,No,White,White
2173,No,White,White
2174,No,White,White
2175,No,Black,Black
2176,No,Black,White
2177,No,Black,Black
2178,No,Black,Black
2179,Yes,White,White
2180,No,White,Black
2181,No,White,White
2182,No,White,White
2183,No,Black,Black
2184,No,Black,Black
2185,No,Black,Black
2186,Yes,Black,Black
2187,No,White,White
2188,No,Black,Black
2189,No,White,White
2190,Yes,Black,White
2191,No,White,White
2192,No,White,White
2193,No,White,White
2194,No,Black,Black
2195,No,Black,Black
2196,No,Black,Black
2197,No,White,White
2198,No,White,White
2199,No,Black,Black
2200,No,Black,Black
2201,No,White,White
2202,No,Black,Black
2203,No,Black,Black
2204,No,White,Black
2205,No,Black,Black
2206,No,White,Black
2207,No,Black,Black
2208,No,Black,White
2209,No,Black,Black
2210,No,White,Black
2211,No,Black,Black
2212,No,Black,Black
2213,No,White,White
2214,No,Black,Black
2215,No,Black,Black
2216,No,White,White
2217,No,Black,Black
2218,No,White,Black
2219,No,Black,Black
2220,No,Black,Black
2221,No,White,Black
2222,No,White,White
2223,No,Black,Black
2224,No,Black,Black
2225,No,Black,Black
2226,No,Black,Black
2227,No,White,White
2228,No,Black,Black
2229,No,Black,Black
2230,No,Black,Black
2231,No,White,Black
2232,Yes,Black,White
2233,No,White,White
2234,No,Black,Black
2235,No,White,White
2236,No,Black,Black
2237,No,White,Black
2238,Yes,White,White
2239,No,Black,Black
2240,No,Black,Black
2241,No,Black,Black
2242,No,Black,Black
2243,No,Black,Black
2244,Yes,White,White
2245,No,Black,Black
2246,No,White,White
2247,No,White,White
2248,No,Black,Black
2249,No,Black,Black
2250,No,Black,Black
2251,No,White,White
2252,No,Black,Black
2253,No,Black,Black
2254,No,Black,Black
2255,No,Black,Black
2256,No,Black,Black
2257,No,Black,Black
2258,No,Black,Black
2259,No,Black,Black
2260,No,White,White
2261,No,White,Black
2262,No,Black,Black
2263,Yes,White,White
2264,No,Black,Black
2265,No,White,White
2266,No,White,White
2267,No,White,White
2268,No,Black,Black
2269,Yes,Black,White
2270,No,Black,Black
2271,No,Black,Black
2272,No,White,White
2273,No,Black,Black
2274,No,White,White
2275,No,Black,Black
2276,No,Black,Black
2277,No,Black,Black
2278,No,White,White
2279,No,Black,Black
2280,No,White,White
2281,No,White,Black
2282,No,White,White
2283,No,White,White
2284,No,Black,Black
2285,No,Black,Black
2286,No,White,Black
2287,No,White,White
2288,No,Black,Black
2289,No,Black,Black
2290,No,White,White
2291,No,Black,Black
2292,No,Black,Black
2293,No,Black,Black
2294,No,Black,White
2295,No,White,White
2296,No,Black,Black
2297,No,Black,Black
2298,No,White,White
2299,No,White,Black
2300,Yes,White,White
2301,No,White,White
2302,No,White,White
2303,No,Black,Black
2304,No,White,White
2305,No,Black,Black
2306,No,White,White
2307,No,White,White
2308,Yes,White,White
2309,No,Black,Black
2310,No,Black,Black
2311,No,White,White
2312,No,Black,Black
2313,No,White,White
2314,No,Black,Black
2315,No,White,White
2316,No,White,White
2317,No,White,White
2318,No,Black,Black
2319,No,White,White
2320,No,White,White
2321,No,Black,Black
2322,No,White,White
2323,No,White,White
2324,No,Black,Black
2325,No,Black,White
2326,No,Black,Black
2327,No,Black,Black
2328,Yes,White,White
2329,No,Black,Black
2330,No,Black,Black
2331,No,Black,White
2332,No,White,White
2333,No,White,Black
2334,No,White,White
2335,No,White,Black
2336,No,Black,Black
2337,Yes,White,White
2338,No,Black,Black
2339,No,White,White
2340,No,Black,Black
2341,No,White,White
2342,No,Black,White
2343,No,Black,Black
2344,No,Black,Black
2345,No,Black,Black
2346,No,White,White
2347,No,Black,Black
2348,No,Black,Black
2349,No,Black,Black
2350,No,Black,Black
2351,No,Black,Black
2352,No,Black,Black
2353,No,Black,Black
2354,No,Black,Black
2355,No,White,White
2356,No,Black,Black
2357,Yes,White,White
2358,No,Black,Black
2359,No,Black,Black
2360,No,Black,Black
2361,No,White,White
2362,No,Black,Black
2363,No,Black,Black
2364,No,Black,Black
2365,No,White,Black
2366,No,Black,Black
2367,No,Black,Black
2368,No,Black,Black
2369,No,Black,Black
2370,No,Black,Black
2371,No,Black,Black
2372,Yes,White,White
2373,No,Black,Black
2374,No,Black,Black
2375,Yes,Black,White
2376,No,Black,Black
2377,No,White,White
2378,No,White,Black
2379,No,Black,Black
2380,No,Black,Black
2381,No,Black,Black
2382,No,Black,White
2383,No,White,Black
2384,No,White,White
2385,No,Black,Black
2386,No,Black,Black
2387,No,Black,Black
2388,No,Black,Black
2389,No,White,White
2390,No,White,White
2391,No,White,White
2392,Yes,Black,White
2393,No,Black,Black
2394,No,Black,Black
2395,No,Black,Black
2396,No,White,White
2397,No,Black,Black
2398,No,Black,Black
2399,No,Black,Black
2400,No,White,Black
2401,Yes,Black,White
2402,No,White,White
2403,No,Black,Black
2404,No,Black,Black
2405,No,White,White
2406,No,Black,Black
2407,No,White,Black
2408,No,White,White
2409,No,Black,Black
2410,No,White,White
2411,No,Black,Black
2412,No,Black,Black
2413,No,Black,Black
2414,No,White,Black
2415,No,Black,Black
2416,No,White,Black
2417,No,White,White
2418,No,White,White
2419,No,White,Black
2420,No,White,White
2421,No,White,White
2422,No,White,White
2423,No,White,Black
2424,No,Black,Black
2425,No,Black,Black
2426,No,White,White
2427,No,White,White
2428,No,Black,Black
2429,No,Black,Black
2430,No,White,Black
2431,No,White,White
2432,No,White,White
2433,No,White,Black
2434,No,White,White
2435,Yes,Black,White
2436,Yes,White,White
2437,No,White,White
2438,No,Black,Black
2439,No,Black,Black
2440,No,Black,Black
2441,No,White,Black
2442,No,White,White
2443,No,White,White
2444,No,Black,Black
2445,No,Black,Black
2446,No,Black,Black
2447,No,White,White
2448,No,Black,Black
2449,No,White,White
2450,No,Black,Black
2451,No,Black,Black
2452,No,Black,Black
2453,No,White,White
2454,No,White,White
2455,No,Black,Black
2456,No,Black,Black
2457,No,Black,Black
2458,Yes,Black,Black
2459,No,Black,Black
2460,No,Black,Black
2461,No,White,White
2462,No,Black,Black
2463,No,White,White
2464,No,Black,Black
2465,No,Black,Black
2466,No,White,White
2467,No,White,White
2468,No,White,White
2469,No,White,White
2470,No,Black,Black
2471,No,White,White
2472,No,White,White
2473,No,White,Black
2474,No,Black,Black
2475,No,Black,Black
